"","year","account_code","mode","return_margin","return_margin2","return_margin3","E_end","excess_return","upper_limit","acc_return","Emean_return"
"24",2012,"340006.OF","Random_with_alpha",26678570.1528324,26701533.3704136,21064194.0859781,1001931443.26049,185790882.525234,58652833.1787079,408010980.53429,638459536.231411
"25",2013,"340006.OF","Random_with_alpha",65634953.3192164,67451229.8812923,65743995.885787,3144446714.33612,908787687.045886,123096613.623298,1879905935.90262,1280531786.75133
"26",2014,"340006.OF","Random_with_alpha",5641255.54179253,9700899.7489021,20116035.7539069,385919926.439404,-147699328.858442,39438347.8992908,100960193.261288,166445671.855514
"27",2015,"340006.OF","Random_with_alpha",60237704.0011715,60067734.7638325,54443269.2639904,2391846332.03535,695093810.424283,134290680.920792,196297534.936525,2191262824.81406
"28",2007,"519005.OF","Random_with_alpha",1021622.6059724,432760.603497674,7355733.0319155,177121627.877948,-319105578.233022,15711580.4986039,84785501.1326774,122384438.944414
"29",2008,"519005.OF","Random_with_alpha",16647236.9227922,15863418.8400614,16967084.1159097,290009625.740776,-143658478.335738,67587384.3489995,39145203.9138997,470067094.957672
"30",2009,"519005.OF","Random_with_alpha",26.6529868,0,8560608.13370257,151644968.630176,-190545298.723644,20209460.4611119,13771314.5515079,158837507.359958
"31",2010,"519005.OF","Random_with_alpha",4961197.80347819,2183848.412841,7456290.43236937,144439657.247133,-163488912.126093,63165903.3775348,-236192214.115894,509160676.52451
"32",2011,"519005.OF","Random_with_alpha",3648479.14262323,3648479.14262323,3648508.97470113,202574581.109289,-109662199.166479,24976602.1603387,81517479.4658262,121615971.420774
"33",2012,"519005.OF","Random_with_alpha",4471044.73110284,4492133.96377476,4754157.72034056,208122129.73117,-172657736.26726,28834910.4415795,110848841.621814,149737798.792492
"34",2013,"519005.OF","Random_with_alpha",7638279.25235289,5929181.82793629,11071997.5725175,315584570.044419,-174235926.982953,47433785.8020712,169917671.938244,132881133.659717
"35",2014,"519005.OF","Random_with_alpha",5327497.65312942,4527381.71977009,4845625.87929362,257171751.415048,-271007179.36773,24540806.7860797,34449592.2604256,139076844.480391
"36",2015,"519005.OF","Random_with_alpha",5559072.43731951,6027688.44538937,4458089.92066697,239819025.01969,-127709389.685689,37078835.2380506,-5421951.44164102,239010888.443206
"37",2007,"161005.OF","Random_without_alpha",98125490.6921781,93655162.8910563,96665870.1570177,3723735538.4215,1937583437.85733,133602886.135232,2450328544.34409,1603821608.23813
"38",2008,"161005.OF","Random_without_alpha",71976352.8662877,73890259.6380698,64442167.0428344,1766398908.18183,943431867.944156,92799977.6427282,827140550.256452,999080562.305555
"39",2009,"161005.OF","Random_without_alpha",91548651.179892,84867161.0641699,78955020.1966537,3641565525.2348,1616358304.57591,138454345.163573,1876426189.52302,2042849707.73091
"40",2010,"161005.OF","Random_without_alpha",48901742.7435714,49223702.1937636,51332471.7724093,1704769177.11913,916976426.085674,125825883.069668,-457866011.034207,2253762043.63249
"41",2011,"161005.OF","Random_without_alpha",69107050.779935,71250787.5801512,62504718.959479,2332645509.64313,712975030.744891,105653323.694527,824184658.829312,1597764811.02962
"42",2012,"161005.OF","Random_without_alpha",128304270.50247,124058986.41724,118993919.020167,4306590078.45824,2206632121.74053,154115267.504225,2169138605.68864,2590853236.10008
"43",2013,"161005.OF","Random_without_alpha",85654816.4617178,90390166.9251734,88510923.3664115,5089288650.45808,2295791144.29162,159896550.133633,3195199215.49406,1858895691.84563
"44",2014,"161005.OF","Random_without_alpha",128561912.236422,138804895.512457,128162143.655629,4367915259.08723,1444279160.9981,160172771.734407,1717432555.6863,2563396908.12518
"45",2015,"161005.OF","Random_without_alpha",87689779.3084889,87895303.7836657,83590997.8983954,3386996078.83487,1549413052.55115,179974227.419408,168814481.538889,3208270706.13007
"46",2007,"163402.OF","Random_without_alpha",113769896.689328,113837518.092555,106214600.013482,3694698845.68118,2010844788.64182,163593358.369014,2160933883.39873,1935746208.92096
"47",2008,"163402.OF","Random_without_alpha",69815222.5825308,70220441.2127617,64052901.9345419,1660881364.76079,866524510.343912,85454705.760885,828502965.805331,882339631.011583
"48",2009,"163402.OF","Random_without_alpha",63077858.3739458,58015838.3719042,66644546.1789641,3193104366.00308,1032653303.18469,127426556.152217,1490027266.35678,1887295419.93696
"49",2010,"163402.OF","Random_without_alpha",61475187.462588,61664051.4980272,62592406.2052764,1680609790.37302,803914870.298263,106673781.279239,34961736.3926937,1712908039.11836
"50",2011,"163402.OF","Random_without_alpha",66727538.4709477,67087156.0945559,62644833.2593605,2379841312.18647,762707431.584651,107629959.878137,791270267.644852,1673657244.5531
"51",2012,"163402.OF","Random_without_alpha",121380025.73639,119955031.433766,110610716.497391,3852438885.41916,1677106028.27228,149903878.874649,1742201491.47366,2462825961.39967
"52",2013,"163402.OF","Random_without_alpha",120999011.323953,124280097.566393,113233184.664758,4519687706.02331,1558037696.68465,151672417.112709,2478378280.97357,1985406454.32265
"53",2014,"163402.OF","Random_without_alpha",105327895.214533,115965992.29128,110458813.216464,4182254990.89911,1265889840.57816,164738205.107881,1493954026.78569,2620227854.46611
"54",2015,"163402.OF","Random_without_alpha",87724514.11217,87933842.7291912,80880644.4811886,3081806008.99816,1235571815.40361,168738481.983624,176144794.911554,2897747129.02345
"55",2007,"340006.OF","Random_without_alpha",141584505.205559,141706250.207864,133537493.332963,4079894846.73408,2400067338.72627,166896988.394202,2455347080.07658,2081457949.35074
"56",2008,"340006.OF","Random_without_alpha",68033703.7730755,68032080.9205309,68285577.1364443,1676097088.97115,805180881.160695,92917056.6944777,671420506.802051,1062343325.95065
"57",2009,"340006.OF","Random_without_alpha",56498971.5584922,46741357.3698964,43515147.5349173,2670740297.99683,377287970.624803,138936134.931329,737962706.513793,2075296897.60308
"58",2010,"340006.OF","Random_without_alpha",47558690.8546057,47657759.0083013,47663147.1556656,1302063596.13229,370723804.221978,116504718.785063,-631785140.823801,1956123276.51326
"59",2011,"340006.OF","Random_without_alpha",37525535.4208771,37049525.0040993,38485413.3070461,1942274312.76993,144843121.016049,111944963.08165,310564848.878874,1671282166.14474
"60",2012,"340006.OF","Random_without_alpha",74439228.2142582,70986673.8054138,63107262.2671641,3040188674.53823,740028088.862018,130141580.581943,1356397551.28947,1850869104.17582
"61",2013,"340006.OF","Random_without_alpha",71359436.0686349,73390201.7450228,71411898.4480279,3524597958.26885,1000442973.60483,136010316.429023,2050564160.49594,1383164201.47469
"62",2014,"340006.OF","Random_without_alpha",44814679.7985724,52522936.6199341,54614181.5514835,2992875514.97681,325548077.529719,132729241.864776,1076323435.20043,1823426718.25954
"63",2015,"340006.OF","Random_without_alpha",60942891.2879649,60988805.4238209,55115575.8911682,2443644178.72197,703763420.343204,136576803.268078,200604683.855118,2239982315.97874
"64",2007,"519005.OF","Random_without_alpha",9634037.4284723,3490805.8512,12715879.8078072,1593349406.22374,-357148484.04076,102110685.365914,629921508.549795,1021129217.79177
"65",2008,"519005.OF","Random_without_alpha",16502525.3177554,15771959.2811411,16564510.4581639,600375372.890689,-201215805.298916,71515729.0756894,-24766438.9182292,615143219.852563
"66",2009,"519005.OF","Random_without_alpha",1166389.1724521,0,7947658.77670984,1567516545.03215,-859185205.205871,119497453.511244,-66243736.7578169,1659587719.60959
"67",2010,"519005.OF","Random_without_alpha",6922512.72346914,2518869.9620421,7117204.92222651,720027921.032435,-279549631.924078,87655284.9598445,-467785411.794232,1187696311.47124
"68",2011,"519005.OF","Random_without_alpha",21599465.101281,22369895.6495696,21240305.9210788,1246310386.51205,-190756462.291879,75623513.6961384,502359992.162812,745663188.318986
"69",2012,"519005.OF","Random_without_alpha",32118939.6173185,36242307.2869269,31341343.3442935,2046144375.6923,-194180725.621587,105075277.684182,899133448.506006,1208076909.56423
"70",2013,"519005.OF","Random_without_alpha",14599179.3197749,31918063.9854773,9230463.41686936,2108326509.46454,-68217750.9787057,106465188.348407,1161369678.9319,959985602.817889
"71",2014,"519005.OF","Random_without_alpha",32840173.9249954,29032680.705254,25365019.6598908,1969677193.69264,-429294348.834675,107342768.454616,351043500.832622,1604185501.36743
"72",2015,"519005.OF","Random_without_alpha",25203281.5732393,28662177.4856605,24963738.7527945,1606505258.90888,-5363746.77005665,107820913.490708,-35858732.9088524,1639335501.83815
