year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return,ret_exc,ret_exc2,ret_exc3,ret_emean,ret_emean2,ret_emean3,year2
2014-12-31--2021-01-04,163402.OF,mode2,226649921.57603207,226649921.57603207,220339099.2047947,11223050922.88715,2623565668.728409,226649921.57603207,5140478098.921865,4813248174.293157,0.08639003180960395,0.08639003180960395,0.0839845946419892,0.04708876695503374,0.04708876695503374,0.04577763107699144,2015
2006-12-29--2013-01-04,519005.OF,mode1,0.0,891530.923,6351365.991,1031978027.8949169,-388768141.8461962,60193672.542534545,-249465938.10537204,1191735841.5095448,-0.0,-0.002293220115121228,-0.016337156539726748,0.0,0.0007480944114852818,0.005329508243164751,2007
2006-12-29--2013-01-04,519005.OF,mode2,0.0,1258734.513,31747352.949,2688216075.3077626,-564349117.3279204,71452069.52186775,-124416046.64140022,1682587776.3564205,-0.0,-0.0022304181478299367,-0.05625481102782145,0.0,0.0007480944118860422,0.01886817044264263,2007
2007-12-28--2014-01-02,519005.OF,mode1,15910832.679,16957035.692,21722001.018000003,860258091.4399536,139302196.32934713,57600977.28725823,-167502515.19024852,847413531.5696809,0.11421810350629788,0.12172841591032131,0.15593437569816532,0.018775759515579186,0.020010343309706358,0.02563329497201196,2008
2007-12-28--2014-01-02,519005.OF,mode2,24350477.772,25588831.043,90498715.6213346,6888244846.358326,243504777.71967897,130538025.43248117,-155891754.37996578,2732643362.9382195,0.10000000000013183,0.10508553993325621,0.371650677530098,0.008910960757724946,0.009364131225483492,0.03311764603048225,2008
2008-12-31--2015-01-05,519005.OF,mode1,0.0,0.0,10780523.932,1682002435.375816,-453744440.9837925,66070163.91028436,411883647.6518396,1358850716.9010406,-0.0,-0.0,-0.02375902150696558,0.0,0.0,0.007933560175458996,2009
2008-12-31--2015-01-05,519005.OF,mode2,0.0,0.0,22246255.997,4381475053.986807,-1225949002.26002,133381451.70321874,1151030794.6621785,3617800583.3042927,-0.0,-0.0,-0.01814615123140468,0.0,0.0,0.006149110622532306,2009
2009-12-31--2016-01-04,519005.OF,mode1,2101290.142,3241209.46,5861217.311,1759823585.0171945,9165745.452066809,63196483.90021668,546557277.4439974,1006782459.6921322,0.22925469106565405,0.3536220241932565,0.6394697890806402,0.002087134238157627,0.0032193741843606826,0.0058217316507404426,2010
2009-12-31--2016-01-04,519005.OF,mode2,0.0,14649458.734000001,36086654.463,14091231295.138195,-383587649.79509145,222460057.53351542,2271601556.4375005,5502767491.96866,-0.0,-0.0381906423260123,-0.09407668490442045,0.0,0.002662198385699745,0.0065579100908168125,2010
2010-12-31--2017-01-03,519005.OF,mode1,0.0,0.0,1243093.802,725362084.3949479,-476765874.4474032,54643927.41847273,-63836706.29055831,855012453.7472894,-0.0,-0.0,-0.0026073464327555137,0.0,0.0,0.0014538897024854486,2011
2010-12-31--2017-01-03,519005.OF,mode2,1355462.618,0.0,19166617.035,1889507298.5873682,-1248710196.3192725,115483438.73508644,-509951425.20595753,2600627262.242545,-0.0010854901497524352,-0.0,-0.015349131521065472,0.0005212060327442588,0.0,0.007369997736035593,2011
2011-12-30--2018-01-02,519005.OF,mode1,0.0,0.0,0.0,1220384968.3048167,-718438132.6536841,75302897.843934,-156125383.42396387,1409308818.3326778,-0.0,-0.0,-0.0,0.0,0.0,0.0,2012
2011-12-30--2018-01-02,519005.OF,mode2,0.0,0.0,0.0,3179000328.6727138,-1950474532.2380395,175176854.761223,-859183965.364956,3780249819.34017,-0.0,-0.0,-0.0,0.0,0.0,0.0,2012
2012-12-31--2019-01-02,519005.OF,mode1,2451615.613,2821687.014,0.0,782060651.9243268,-445721340.83632517,85327189.66100365,-700772170.3265359,1669607200.8200386,-0.005500332580889965,-0.006330607838308916,-0.0,0.001468378677209749,0.0016900304530395591,0.0,2013
2012-12-31--2019-01-02,519005.OF,mode2,0.0,6179974.623,0.0,1161959832.7976213,-1330887621.121657,190545962.63869798,-1824133912.8443055,3778887168.9591312,-0.0,-0.0046434984629217515,-0.0,0.0,0.001635395381413897,0.0,2013
2013-12-31--2020-01-02,519005.OF,mode1,17963832.473,21437419.522287253,15248970.475,1056859075.0018723,-334724490.8030064,50486849.69596632,381600584.0038131,714580650.7429085,-0.05366751751538897,-0.06404496865723429,-0.04555678145455569,0.025138985297634402,0.03,0.02133974724776905,2014
2013-12-31--2020-01-02,519005.OF,mode2,3380283.873,21571775.02487872,0.0,895621926.5231525,-539028449.9806131,56977673.36449346,172836850.95779806,719059167.4959574,-0.006271067646098414,-0.04001973369987165,-0.0,0.0047009815406032,0.03,0.0,2014
2014-12-31--2021-01-04,519005.OF,mode1,18323046.228,27880627.03178342,20231381.207,1632778190.520207,-131191100.95632517,62357386.890952095,556004322.7471523,929354234.3927807,-0.13966683787568734,-0.21251919397387448,-0.1542130606384287,0.019715890399931164,0.030000000000000002,0.021769289317564396,2015
2014-12-31--2021-01-04,519005.OF,mode2,0.0,59927349.10119392,0.0,4253250031.0319467,-1291875235.4728832,124897840.11573234,726397425.4880043,1997578303.3731308,-0.0,-0.04638787667390951,-0.0,0.0,0.03,0.0,2015
2006-12-29--2013-01-04,161005.OF,mode1,50230258.464,69121082.182,58882865.771,3177861729.1712174,502302584.6439631,123012497.78132562,-219187058.5808541,2909018058.113476,0.09999999999921101,0.13760845413724815,0.11722588648978731,0.01726708375835067,0.023760967034637672,0.020241492006820357,2007
2006-12-29--2013-01-04,161005.OF,mode2,161353655.283,221586577.418,290091475.462,13218557749.888693,1392930734.4917805,373810478.11822975,-134905120.6927588,9644228245.381523,0.11583752966860257,0.15907939420896422,0.20825979948517806,0.016730592762595583,0.02297608183673116,0.030079283492789637,2007
2007-12-28--2014-01-02,161005.OF,mode1,64947258.54208481,64435917.55408481,66761536.42808481,2278255907.1762943,911477233.5349567,94057390.57361785,-97837013.92912209,1957227198.0177681,0.07125494324219342,0.07069394076271636,0.07324542399064145,0.03318330064484175,0.032922042785499775,0.034110263997812446,2008
2007-12-28--2014-01-02,161005.OF,mode2,300097260.1039818,292540771.4309818,295231385.9859818,16614781115.62625,3944134611.167804,507783506.0982726,-853010665.9627562,14222079171.876362,0.07608697209630154,0.07417109208257082,0.07485327330107729,0.021100800837715282,0.02056947988374797,0.020758665622519597,2008
2008-12-31--2015-01-05,161005.OF,mode1,18485675.128,24700393.436,8921888.868,4439960181.747018,-256403650.34006768,99378249.54383221,1370450630.7500238,2258208972.0459414,-0.0720959904567758,-0.09633401631856611,-0.03479626306476884,0.00818598958592036,0.010938045921242355,0.003950869462677209,2009
2008-12-31--2015-01-05,161005.OF,mode2,13978466.467,49973294.283,0.0,12312234886.51398,139784664.67547727,299661645.3851066,4715236928.81953,7855483880.442694,0.09999999999608164,0.35750197919791504,0.0,0.0017794532685378316,0.006361580654174007,0.0,2009
2009-12-31--2016-01-04,161005.OF,mode1,84422150.83713488,91553170.01713488,88437141.09813488,6384705333.198486,1977751003.7071934,103717514.63908923,3068944009.8595138,2101675620.9044962,0.04268593502361514,0.04629155533003049,0.04471601376126922,0.04016897279362369,0.043561988875206736,0.042079348600938836,2010
2009-12-31--2016-01-04,161005.OF,mode2,259512239.29327372,359202917.30227375,303778769.23827374,16125418136.490776,6530494489.611042,401748472.4482553,11468094934.824455,8650407976.442457,0.03973852817824372,0.05500393850323392,0.04651696279991301,0.03,0.04152439032707895,0.0351172765568457,2010
2010-12-31--2017-01-03,161005.OF,mode1,49598794.462,64206345.426,20658750.761,3024628615.49239,495987944.6189717,83908857.88128869,953123363.8273574,1766526695.1354992,0.10000000000020731,0.12945142341176186,0.04165171953296261,0.028077013836575838,0.0363460940628894,0.011694559056417426,2011
2010-12-31--2017-01-03,161005.OF,mode2,76255015.002,191365725.492,226447365.8430376,8387448633.325552,762550150.0200884,228563312.88575608,5174076603.997987,6097796864.301253,0.0999999999999884,0.25095493783190354,0.2969606206714039,0.01250533868197954,0.031382764915034375,0.037135931367071905,2011
2011-12-30--2018-01-02,161005.OF,mode1,93638899.91229343,93638899.91229343,93638899.91229343,5173255149.204513,1209783827.7333298,131189925.44503695,1906814462.926297,3121296663.7431145,0.07740134870850172,0.07740134870850172,0.07740134870850172,0.03,0.03,0.03,2012
2011-12-30--2018-01-02,161005.OF,mode2,230816570.15195033,230816570.15195033,265697716.26795033,14345699041.789974,2408200083.6133122,351074415.2724524,6509139047.753916,7693885671.731678,0.0958460934050083,0.0958460934050083,0.11033041568094794,0.03,0.03,0.034533618980609214,2012
2012-12-31--2019-01-02,161005.OF,mode1,47307755.53503197,47307755.53503197,47307755.53503197,4346531594.375179,836042805.8132886,201742343.39097032,-1470280937.7587278,5147819595.197945,0.05658532697857709,0.05658532697857709,0.05658532697857709,0.00918986274871835,0.00918986274871835,0.00918986274871835,2013
2012-12-31--2019-01-02,161005.OF,mode2,153605169.40654358,153605169.40654358,153605169.40654358,6261378011.826796,1313962894.7008479,498555656.6917571,-2930729345.9183373,11498349576.173784,0.11690221240342949,0.11690221240342949,0.11690221240342949,0.013358888455160152,0.013358888455160152,0.013358888455160152,2013
2013-12-31--2020-01-02,161005.OF,mode1,70977914.346,89590370.61,34263688.464,4879154463.865382,709779143.4629953,121951276.1043401,1185504339.983896,2726150506.6799054,0.099999999999578,0.12622288416772962,0.04827373244137365,0.026035948555328228,0.032863325187100306,0.012568524144225877,2014
2013-12-31--2020-01-02,161005.OF,mode2,99776655.95899999,291147014.864,0.0,13530142917.42058,997766559.5909758,396330245.64655054,2693933082.8567834,8861318561.84105,0.0999999999999022,0.29179872993874717,0.0,0.011259797880268301,0.03285594720832501,0.0,2014
2014-12-31--2021-01-04,161005.OF,mode1,147832343.43243092,147832343.43243092,147832343.43243092,9219309464.596907,2397949574.4963484,147832343.43243092,3572888472.4983206,3518530471.6606345,0.061649479624057896,0.061649479624057896,0.061649479624057896,0.04201536539845817,0.04201536539845817,0.04201536539845817,2015
2014-12-31--2021-01-04,161005.OF,mode2,417658547.6086584,487224674.5861363,367660778.9736584,23284585942.17638,6483898842.547532,487224674.5861363,9767860412.375826,11580984775.721947,0.06441472295464742,0.07514378099006633,0.05670365746008523,0.036064165154955224,0.042071091882232715,0.03174693569621231,2015
