date,acc_name_ch,nav_adj,acc_code
03/04/2013,富国天惠,4.343828,161005.OF
08/04/2013,富国天惠,4.320523,161005.OF
09/04/2013,富国天惠,4.347388,161005.OF
10/04/2013,富国天惠,4.336383,161005.OF
11/04/2013,富国天惠,4.352567,161005.OF
12/04/2013,富国天惠,4.357099,161005.OF
15/04/2013,富国天惠,4.328938,161005.OF
16/04/2013,富国天惠,4.364867,161005.OF
17/04/2013,富国天惠,4.427662,161005.OF
18/04/2013,富国天惠,4.412449,161005.OF
19/04/2013,富国天惠,4.498872,161005.OF
22/04/2013,富国天惠,4.51538,161005.OF
23/04/2013,富国天惠,4.410507,161005.OF
24/04/2013,富国天惠,4.495959,161005.OF
25/04/2013,富国天惠,4.407593,161005.OF
26/04/2013,富国天惠,4.36422,161005.OF
02/05/2013,富国天惠,4.360659,161005.OF
03/05/2013,富国天惠,4.42572,161005.OF
06/05/2013,富国天惠,4.509554,161005.OF
07/05/2013,富国天惠,4.516675,161005.OF
08/05/2013,富国天惠,4.534477,161005.OF
09/05/2013,富国天惠,4.53739,161005.OF
10/05/2013,富国天惠,4.560372,161005.OF
13/05/2013,富国天惠,4.561019,161005.OF
14/05/2013,富国天惠,4.493693,161005.OF
15/05/2013,富国天惠,4.551956,161005.OF
16/05/2013,富国天惠,4.60148,161005.OF
17/05/2013,富国天惠,4.67884,161005.OF
20/05/2013,富国天惠,4.725127,161005.OF
21/05/2013,富国天惠,4.743577,161005.OF
22/05/2013,富国天惠,4.727392,161005.OF
23/05/2013,富国天惠,4.707324,161005.OF
24/05/2013,富国天惠,4.75005,161005.OF
27/05/2013,富国天惠,4.766558,161005.OF
28/05/2013,富国天惠,4.8054,161005.OF
29/05/2013,富国天惠,4.807666,161005.OF
30/05/2013,富国天惠,4.793424,161005.OF
31/05/2013,富国天惠,4.721242,161005.OF
03/06/2013,富国天惠,4.704087,161005.OF
04/06/2013,富国天惠,4.639998,161005.OF
05/06/2013,富国天惠,4.652298,161005.OF
06/06/2013,富国天惠,4.580117,161005.OF
07/06/2013,富国天惠,4.52509,161005.OF
13/06/2013,富国天惠,4.421836,161005.OF
14/06/2013,富国天惠,4.531888,161005.OF
17/06/2013,富国天惠,4.510848,161005.OF
18/06/2013,富国天惠,4.528004,161005.OF
19/06/2013,富国天惠,4.482688,161005.OF
20/06/2013,富国天惠,4.353538,161005.OF
21/06/2013,富国天惠,4.341886,161005.OF
24/06/2013,富国天惠,4.12955,161005.OF
25/06/2013,富国天惠,4.151884,161005.OF
26/06/2013,富国天惠,4.25352,161005.OF
27/06/2013,富国天惠,4.212413,161005.OF
28/06/2013,富国天惠,4.264202,161005.OF
01/07/2013,富国天惠,4.339944,161005.OF
02/07/2013,富国天惠,4.400149,161005.OF
03/07/2013,富国天惠,4.414715,161005.OF
04/07/2013,富国天惠,4.459059,161005.OF
05/07/2013,富国天惠,4.458412,161005.OF
08/07/2013,富国天惠,4.352891,161005.OF
09/07/2013,富国天惠,4.330233,161005.OF
10/07/2013,富国天惠,4.435107,161005.OF
11/07/2013,富国天惠,4.539333,161005.OF
12/07/2013,富国天惠,4.536743,161005.OF
15/07/2013,富国天惠,4.662656,161005.OF
16/07/2013,富国天惠,4.704411,161005.OF
17/07/2013,富国天惠,4.638703,161005.OF
18/07/2013,富国天惠,4.598567,161005.OF
19/07/2013,富国天惠,4.544188,161005.OF
22/07/2013,富国天惠,4.622519,161005.OF
23/07/2013,富国天惠,4.724156,161005.OF
24/07/2013,富国天惠,4.732895,161005.OF
25/07/2013,富国天惠,4.671395,161005.OF
26/07/2013,富国天惠,4.675927,161005.OF
29/07/2013,富国天惠,4.584648,161005.OF
30/07/2013,富国天惠,4.559077,161005.OF
31/07/2013,富国天惠,4.590474,161005.OF
01/08/2013,富国天惠,4.697937,161005.OF
02/08/2013,富国天惠,4.793424,161005.OF
05/08/2013,富国天惠,4.88535,161005.OF
06/08/2013,富国天惠,4.890529,161005.OF
07/08/2013,富国天惠,4.810903,161005.OF
08/08/2013,富国天惠,4.779505,161005.OF
09/08/2013,富国天惠,4.782095,161005.OF
12/08/2013,富国天惠,4.825468,161005.OF
13/08/2013,富国天惠,4.830647,161005.OF
14/08/2013,富国天惠,4.818995,161005.OF
15/08/2013,富国天惠,4.755553,161005.OF
16/08/2013,富国天惠,4.675279,161005.OF
19/08/2013,富国天惠,4.762674,161005.OF
20/08/2013,富国天惠,4.74034,161005.OF
21/08/2013,富国天惠,4.733542,161005.OF
22/08/2013,富国天惠,4.74034,161005.OF
23/08/2013,富国天惠,4.706677,161005.OF
26/08/2013,富国天惠,4.775945,161005.OF
27/08/2013,富国天惠,4.76235,161005.OF
28/08/2013,富国天惠,4.689845,161005.OF
29/08/2013,富国天惠,4.663627,161005.OF
30/08/2013,富国天惠,4.622195,161005.OF
02/09/2013,富国天惠,4.652622,161005.OF
03/09/2013,富国天惠,4.738721,161005.OF
04/09/2013,富国天惠,4.731924,161005.OF
05/09/2013,富国天惠,4.767853,161005.OF
06/09/2013,富国天惠,4.759761,161005.OF
09/09/2013,富国天惠,4.796013,161005.OF
10/09/2013,富国天惠,4.824174,161005.OF
11/09/2013,富国天惠,4.834532,161005.OF
12/09/2013,富国天惠,4.889558,161005.OF
13/09/2013,富国天惠,4.924192,161005.OF
16/09/2013,富国天惠,4.914481,161005.OF
17/09/2013,富国天惠,4.781124,161005.OF
18/09/2013,富国天惠,4.811226,161005.OF
23/09/2013,富国天惠,4.905742,161005.OF
24/09/2013,富国天惠,4.95915,161005.OF
25/09/2013,富国天惠,5.034568,161005.OF
26/09/2013,富国天惠,4.937786,161005.OF
27/09/2013,富国天惠,4.943289,161005.OF
30/09/2013,富国天惠,5.00317,161005.OF
08/10/2013,富国天惠,5.09542,161005.OF
09/10/2013,富国天惠,5.102865,161005.OF
10/10/2013,富国天惠,5.088947,161005.OF
11/10/2013,富国天惠,5.183462,161005.OF
14/10/2013,富国天惠,5.254672,161005.OF
15/10/2013,富国天惠,5.243991,161005.OF
16/10/2013,富国天惠,5.109015,161005.OF
17/10/2013,富国天惠,5.081178,161005.OF
18/10/2013,富国天惠,5.103189,161005.OF
21/10/2013,富国天惠,5.276035,161005.OF
22/10/2013,富国天惠,5.175046,161005.OF
23/10/2013,富国天惠,5.049457,161005.OF
24/10/2013,富国天惠,4.994431,161005.OF
25/10/2013,富国天惠,4.946202,161005.OF
28/10/2013,富国天惠,4.914158,161005.OF
